Sample ID	Diversity	DiversityID	Pert1	Pert2 	Temp	pH	Phylogenetic Resolution
7H-A-DNA_Reads_non_singletons_gap	4.027	Active	Temp	Maintained	4.5	25	100
9H-A-DNA_Reads_non_singletons_gap	5.060	Active	Temp	Maintained	7.5	25	100
10H-A-DNA_Reads_non_singletons_gap	4.095	Active	Temp	Maintained	7.5	25	100
11H-A-DNA_Reads_non_singletons_gap	4.249	Active	Temp	Maintained	7.5	25	100
13H-A-DNA_Reads_non_singletons_gap	3.256	Active	Temp	Perturbed	6	15	100
14H-A-DNA_Reads_non_singletons_gap	3.292	Active	Temp	Perturbed	6	15	100
15H-A-DNA_Reads_non_singletons_gap	3.061	Active	Temp	Perturbed	6	15	100
17H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	100
18H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	100
19H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	100
21H-A-DNA_Reads_non_singletons_gap	3.700	Active	Temp	Perturbed	7.5	15	100
22H-A-DNA_Reads_non_singletons_gap	3.664	Active	Temp	Perturbed	7.5	15	100
23H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	15	100
NBAF33-A33_Reads_non_singletons_gap	3.449	Active	Temp	Perturbed	7.5	15	100
26H-A-DNA_Reads_non_singletons_gap	1.002	Active	Temp	Perturbed	6	35	100
27H-A-DNA_Reads_non_singletons_gap	0.598	Active	Temp	Perturbed	6	35	100
28H-A-DNA_Reads_non_singletons_gap	0.929	Active	Temp	Perturbed	6	35	100
29H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	100
30H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	100
31H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	100
33H-A-DNA_Reads_non_singletons_gap	2.216	Active	Temp	Perturbed	7.5	35	100
34H-A-DNA_Reads_non_singletons_gap	2.462	Active	Temp	Perturbed	7.5	35	100
35H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	35	100
AOA68_Reads_non_singletons_gap	3.023	Active	Temp	Perturbed	7.5	35	100
37H-A-DNA_Reads_non_singletons_gap	3.083	Active	pH	Maintained	6	25	100
38H-A-DNA_Reads_non_singletons_gap	3.001	Active	pH	Maintained	6	25	100
39H-A-DNA_Reads_non_singletons_gap	3.023	Active	pH	Maintained	6	25	100
41H-A-DNA_Reads_non_singletons_gap	2.623	Active	pH	Maintained	6	15	100
42H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	15	100
43H-A-DNA_Reads_non_singletons_gap	2.413	Active	pH	Maintained	6	15	100
AOA84_Reads_non_singletons_gap	4.324	Active	pH	Maintained	6	15	100
45H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	35	100
46H-A-DNA_Reads_non_singletons_gap	0.681	Active	pH	Maintained	6	35	100
47H-A-DNA_Reads_non_singletons_gap	0.550	Active	pH	Maintained	6	35	100
NBAF45-A45_Reads_non_singletons_gap	0.845	Active	pH	Maintained	6	35	100
49H-A-DNA_Reads_non_singletons_gap	4.048	Active	pH	Perturbed	4.5	25	100
50H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	25	100
51H-A-DNA_Reads_non_singletons_gap	4.233	Active	pH	Perturbed	4.5	25	100
AOA100_Reads_non_singletons_gap	3.453	Active	pH	Perturbed	4.5	25	100
53H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	100
54H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	100
55H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	100
57H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	100
58H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	100
59H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	100
NBAF71-A73_reads_without_singletons_id_1	0.000	Active	pH	Perturbed	7.5	25	100
63H-A-DNA_Reads_non_singletons_gap	2.810	Active	pH	Perturbed	7.5	25	100
64H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	25	100
65H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	100
66H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	100
67H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	100
69H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	35	100
70H-A-DNA_Reads_non_singletons_gap	3.468	Active	pH	Perturbed	7.5	35	100
71H-A-DNA_Reads_non_singletons_gap	2.761	Active	pH	Perturbed	7.5	35	100
AOA140_Reads_non_singletons_gap	2.106	Active	pH	Perturbed	7.5	35	100
2H-A-DNA_Reads_non_singletons_gap	2.434	Total	Temp	Maintained	6	25	95
3H-A-DNA_Reads_non_singletons_gap	2.486	Total	Temp	Maintained	6	25	95
4H-A-DNA_Reads_non_singletons_gap	2.432	Total	Temp	Maintained	6	25	95
5H-A-DNA_Reads_non_singletons_gap	2.493	Total	Temp	Maintained	4.5	25	95
6H-A-DNA_Reads_non_singletons_gap	2.525	Total	Temp	Maintained	4.5	25	95
7H-A-DNA_Reads_non_singletons_gap	2.524	Total	Temp	Maintained	4.5	25	95
9H-A-DNA_Reads_non_singletons_gap	2.171	Total	Temp	Maintained	7.5	25	95
10H-A-DNA_Reads_non_singletons_gap	2.204	Total	Temp	Maintained	7.5	25	95
11H-A-DNA_Reads_non_singletons_gap	2.287	Total	Temp	Maintained	7.5	25	95
13H-A-DNA_Reads_non_singletons_gap	2.370	Total	Temp	Perturbed	6	15	95
14H-A-DNA_Reads_non_singletons_gap	2.191	Total	Temp	Perturbed	6	15	95
15H-A-DNA_Reads_non_singletons_gap	2.347	Total	Temp	Perturbed	6	15	95
17H-A-DNA_Reads_non_singletons_gap	2.429	Total	Temp	Perturbed	4.5	15	95
18H-A-DNA_Reads_non_singletons_gap	2.542	Total	Temp	Perturbed	4.5	15	95
19H-A-DNA_Reads_non_singletons_gap	2.428	Total	Temp	Perturbed	4.5	15	95
21H-A-DNA_Reads_non_singletons_gap	2.485	Total	Temp	Perturbed	7.5	15	95
22H-A-DNA_Reads_non_singletons_gap	2.015	Total	Temp	Perturbed	7.5	15	95
23H-A-DNA_Reads_non_singletons_gap	1.999	Total	Temp	Perturbed	7.5	15	95
NBAF33-A33_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	15	95
26H-A-DNA_Reads_non_singletons_gap	2.214	Total	Temp	Perturbed	6	35	95
27H-A-DNA_Reads_non_singletons_gap	2.331	Total	Temp	Perturbed	6	35	95
28H-A-DNA_Reads_non_singletons_gap	2.379	Total	Temp	Perturbed	6	35	95
29H-A-DNA_Reads_non_singletons_gap	1.597	Total	Temp	Perturbed	4.5	35	95
30H-A-DNA_Reads_non_singletons_gap	1.491	Total	Temp	Perturbed	4.5	35	95
31H-A-DNA_Reads_non_singletons_gap	1.516	Total	Temp	Perturbed	4.5	35	95
33H-A-DNA_Reads_non_singletons_gap	2.403	Total	Temp	Perturbed	7.5	35	95
34H-A-DNA_Reads_non_singletons_gap	2.509	Total	Temp	Perturbed	7.5	35	95
35H-A-DNA_Reads_non_singletons_gap	2.518	Total	Temp	Perturbed	7.5	35	95
AOA68_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	35	95
37H-A-DNA_Reads_non_singletons_gap	2.492	Total	pH	Maintained	6	25	95
38H-A-DNA_Reads_non_singletons_gap	2.431	Total	pH	Maintained	6	25	95
39H-A-DNA_Reads_non_singletons_gap	2.399	Total	pH	Maintained	6	25	95
41H-A-DNA_Reads_non_singletons_gap	2.517	Total	pH	Maintained	6	15	95
42H-A-DNA_Reads_non_singletons_gap	2.561	Total	pH	Maintained	6	15	95
43H-A-DNA_Reads_non_singletons_gap	2.535	Total	pH	Maintained	6	15	95
AOA84_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	15	95
45H-A-DNA_Reads_non_singletons_gap	2.130	Total	pH	Maintained	6	35	95
46H-A-DNA_Reads_non_singletons_gap	1.999	Total	pH	Maintained	6	35	95
47H-A-DNA_Reads_non_singletons_gap	1.809	Total	pH	Maintained	6	35	95
NBAF45-A45_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	35	95
49H-A-DNA_Reads_non_singletons_gap	1.894	Total	pH	Perturbed	4.5	25	95
50H-A-DNA_Reads_non_singletons_gap	1.927	Total	pH	Perturbed	4.5	25	95
51H-A-DNA_Reads_non_singletons_gap	1.422	Total	pH	Perturbed	4.5	25	95
AOA100_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	4.5	25	95
53H-A-DNA_Reads_non_singletons_gap	2.188	Total	pH	Perturbed	4.5	15	95
54H-A-DNA_Reads_non_singletons_gap	2.045	Total	pH	Perturbed	4.5	15	95
55H-A-DNA_Reads_non_singletons_gap	2.166	Total	pH	Perturbed	4.5	15	95
57H-A-DNA_Reads_non_singletons_gap	1.835	Total	pH	Perturbed	4.5	35	95
58H-A-DNA_Reads_non_singletons_gap	1.863	Total	pH	Perturbed	4.5	35	95
59H-A-DNA_Reads_non_singletons_gap	1.872	Total	pH	Perturbed	4.5	35	95
NBAF71-A73_reads_without_singletons_id_1	n/a	Total	pH	Perturbed	7.5	25	95
63H-A-DNA_Reads_non_singletons_gap	2.027	Total	pH	Perturbed	7.5	25	95
64H-A-DNA_Reads_non_singletons_gap	2.027	Total	pH	Perturbed	7.5	25	95
65H-A-DNA_Reads_non_singletons_gap	2.436	Total	pH	Perturbed	7.5	15	95
66H-A-DNA_Reads_non_singletons_gap	2.501	Total	pH	Perturbed	7.5	15	95
67H-A-DNA_Reads_non_singletons_gap	2.418	Total	pH	Perturbed	7.5	15	95
69H-A-DNA_Reads_non_singletons_gap	2.084	Total	pH	Perturbed	7.5	35	95
70H-A-DNA_Reads_non_singletons_gap	1.906	Total	pH	Perturbed	7.5	35	95
71H-A-DNA_Reads_non_singletons_gap	1.940	Total	pH	Perturbed	7.5	35	95
AOA140_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	7.5	35	95
2H-A-DNA_Reads_non_singletons_gap	2.252	Active	Temp	Maintained	6	25	95
3H-A-DNA_Reads_non_singletons_gap	1.946	Active	Temp	Maintained	6	25	95
4H-A-DNA_Reads_non_singletons_gap	1.877	Active	Temp	Maintained	6	25	95
5H-A-DNA_Reads_non_singletons_gap	2.562	Active	Temp	Maintained	4.5	25	95
6H-A-DNA_Reads_non_singletons_gap	2.549	Active	Temp	Maintained	4.5	25	95
7H-A-DNA_Reads_non_singletons_gap	2.417	Active	Temp	Maintained	4.5	25	95
9H-A-DNA_Reads_non_singletons_gap	2.368	Active	Temp	Maintained	7.5	25	95
10H-A-DNA_Reads_non_singletons_gap	1.806	Active	Temp	Maintained	7.5	25	95
11H-A-DNA_Reads_non_singletons_gap	1.980	Active	Temp	Maintained	7.5	25	95
13H-A-DNA_Reads_non_singletons_gap	1.810	Active	Temp	Perturbed	6	15	95
14H-A-DNA_Reads_non_singletons_gap	1.798	Active	Temp	Perturbed	6	15	95
15H-A-DNA_Reads_non_singletons_gap	1.772	Active	Temp	Perturbed	6	15	95
17H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	95
18H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	95
19H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	15	95
21H-A-DNA_Reads_non_singletons_gap	1.321	Active	Temp	Perturbed	7.5	15	95
22H-A-DNA_Reads_non_singletons_gap	1.321	Active	Temp	Perturbed	7.5	15	95
23H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	15	95
NBAF33-A33_Reads_non_singletons_gap	1.306	Active	Temp	Perturbed	7.5	15	95
26H-A-DNA_Reads_non_singletons_gap	0.675	Active	Temp	Perturbed	6	35	95
27H-A-DNA_Reads_non_singletons_gap	0.493	Active	Temp	Perturbed	6	35	95
28H-A-DNA_Reads_non_singletons_gap	0.764	Active	Temp	Perturbed	6	35	95
29H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	95
30H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	95
31H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	4.5	35	95
33H-A-DNA_Reads_non_singletons_gap	1.165	Active	Temp	Perturbed	7.5	35	95
34H-A-DNA_Reads_non_singletons_gap	1.874	Active	Temp	Perturbed	7.5	35	95
35H-A-DNA_Reads_non_singletons_gap	0.000	Active	Temp	Perturbed	7.5	35	95
AOA68_Reads_non_singletons_gap	1.183	Active	Temp	Perturbed	7.5	35	95
37H-A-DNA_Reads_non_singletons_gap	1.193	Active	pH	Maintained	6	25	95
38H-A-DNA_Reads_non_singletons_gap	1.593	Active	pH	Maintained	6	25	95
39H-A-DNA_Reads_non_singletons_gap	2.389	Active	pH	Maintained	6	25	95
41H-A-DNA_Reads_non_singletons_gap	2.205	Active	pH	Maintained	6	15	95
42H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	15	95
43H-A-DNA_Reads_non_singletons_gap	1.972	Active	pH	Maintained	6	15	95
AOA84_Reads_non_singletons_gap	2.652	Active	pH	Maintained	6	15	95
45H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Maintained	6	35	95
46H-A-DNA_Reads_non_singletons_gap	0.537	Active	pH	Maintained	6	35	95
47H-A-DNA_Reads_non_singletons_gap	0.429	Active	pH	Maintained	6	35	95
NBAF45-A45_Reads_non_singletons_gap	0.662	Active	pH	Maintained	6	35	95
49H-A-DNA_Reads_non_singletons_gap	2.602	Active	pH	Perturbed	4.5	25	95
50H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	25	95
51H-A-DNA_Reads_non_singletons_gap	2.624	Active	pH	Perturbed	4.5	25	95
AOA100_Reads_non_singletons_gap	2.153	Active	pH	Perturbed	4.5	25	95
53H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	95
54H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	95
55H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	15	95
57H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	95
58H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	95
59H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	4.5	35	95
NBAF71-A73_reads_without_singletons_id_1	0.000	Active	pH	Perturbed	7.5	25	95
63H-A-DNA_Reads_non_singletons_gap	1.981	Active	pH	Perturbed	7.5	25	95
64H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	25	95
65H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	95
66H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	95
67H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	15	95
69H-A-DNA_Reads_non_singletons_gap	0.000	Active	pH	Perturbed	7.5	35	95
70H-A-DNA_Reads_non_singletons_gap	2.298	Active	pH	Perturbed	7.5	35	95
71H-A-DNA_Reads_non_singletons_gap	1.375	Active	pH	Perturbed	7.5	35	95
AOA140_Reads_non_singletons_gap	0.909	Active	pH	Perturbed	7.5	35	95
2H-A-DNA_Reads_non_singletons_gap	2.247	Total	Temp	Maintained	6	25	90
3H-A-DNA_Reads_non_singletons_gap	2.284	Total	Temp	Maintained	6	25	90
4H-A-DNA_Reads_non_singletons_gap	2.237	Total	Temp	Maintained	6	25	90
5H-A-DNA_Reads_non_singletons_gap	1.969	Total	Temp	Maintained	4.5	25	90
6H-A-DNA_Reads_non_singletons_gap	1.985	Total	Temp	Maintained	4.5	25	90
7H-A-DNA_Reads_non_singletons_gap	2.001	Total	Temp	Maintained	4.5	25	90
9H-A-DNA_Reads_non_singletons_gap	1.729	Total	Temp	Maintained	7.5	25	90
10H-A-DNA_Reads_non_singletons_gap	1.757	Total	Temp	Maintained	7.5	25	90
11H-A-DNA_Reads_non_singletons_gap	1.794	Total	Temp	Maintained	7.5	25	90
13H-A-DNA_Reads_non_singletons_gap	2.164	Total	Temp	Perturbed	6	15	90
14H-A-DNA_Reads_non_singletons_gap	1.995	Total	Temp	Perturbed	6	15	90
15H-A-DNA_Reads_non_singletons_gap	2.123	Total	Temp	Perturbed	6	15	90
17H-A-DNA_Reads_non_singletons_gap	1.956	Total	Temp	Perturbed	4.5	15	90
18H-A-DNA_Reads_non_singletons_gap	2.017	Total	Temp	Perturbed	4.5	15	90
19H-A-DNA_Reads_non_singletons_gap	1.924	Total	Temp	Perturbed	4.5	15	90
21H-A-DNA_Reads_non_singletons_gap	1.950	Total	Temp	Perturbed	7.5	15	90
22H-A-DNA_Reads_non_singletons_gap	1.619	Total	Temp	Perturbed	7.5	15	90
23H-A-DNA_Reads_non_singletons_gap	1.595	Total	Temp	Perturbed	7.5	15	90
NBAF33-A33_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	15	90
26H-A-DNA_Reads_non_singletons_gap	1.967	Total	Temp	Perturbed	6	35	90
27H-A-DNA_Reads_non_singletons_gap	2.088	Total	Temp	Perturbed	6	35	90
28H-A-DNA_Reads_non_singletons_gap	2.109	Total	Temp	Perturbed	6	35	90
29H-A-DNA_Reads_non_singletons_gap	1.213	Total	Temp	Perturbed	4.5	35	90
30H-A-DNA_Reads_non_singletons_gap	1.126	Total	Temp	Perturbed	4.5	35	90
31H-A-DNA_Reads_non_singletons_gap	1.161	Total	Temp	Perturbed	4.5	35	90
33H-A-DNA_Reads_non_singletons_gap	1.981	Total	Temp	Perturbed	7.5	35	90
34H-A-DNA_Reads_non_singletons_gap	2.066	Total	Temp	Perturbed	7.5	35	90
35H-A-DNA_Reads_non_singletons_gap	2.119	Total	Temp	Perturbed	7.5	35	90
AOA68_Reads_non_singletons_gap	n/a	Total	Temp	Perturbed	7.5	35	90
37H-A-DNA_Reads_non_singletons_gap	2.272	Total	pH	Maintained	6	25	90
38H-A-DNA_Reads_non_singletons_gap	2.238	Total	pH	Maintained	6	25	90
39H-A-DNA_Reads_non_singletons_gap	2.191	Total	pH	Maintained	6	25	90
41H-A-DNA_Reads_non_singletons_gap	2.203	Total	pH	Maintained	6	15	90
42H-A-DNA_Reads_non_singletons_gap	2.241	Total	pH	Maintained	6	15	90
43H-A-DNA_Reads_non_singletons_gap	2.260	Total	pH	Maintained	6	15	90
AOA84_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	15	90
45H-A-DNA_Reads_non_singletons_gap	1.922	Total	pH	Maintained	6	35	90
46H-A-DNA_Reads_non_singletons_gap	1.823	Total	pH	Maintained	6	35	90
47H-A-DNA_Reads_non_singletons_gap	1.677	Total	pH	Maintained	6	35	90
NBAF45-A45_Reads_non_singletons_gap	n/a	Total	pH	Maintained	6	35	90
49H-A-DNA_Reads_non_singletons_gap	1.725	Total	pH	Perturbed	4.5	25	90
50H-A-DNA_Reads_non_singletons_gap	1.800	Total	pH	Perturbed	4.5	25	90
51H-A-DNA_Reads_non_singletons_gap	1.281	Total	pH	Perturbed	4.5	25	90
AOA100_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	4.5	25	90
53H-A-DNA_Reads_non_singletons_gap	1.946	Total	pH	Perturbed	4.5	15	90
54H-A-DNA_Reads_non_singletons_gap	1.834	Total	pH	Perturbed	4.5	15	90
55H-A-DNA_Reads_non_singletons_gap	1.932	Total	pH	Perturbed	4.5	15	90
57H-A-DNA_Reads_non_singletons_gap	1.671	Total	pH	Perturbed	4.5	35	90
58H-A-DNA_Reads_non_singletons_gap	1.703	Total	pH	Perturbed	4.5	35	90
59H-A-DNA_Reads_non_singletons_gap	1.715	Total	pH	Perturbed	4.5	35	90
NBAF71-A73_reads_without_singletons_id_1	n/a	Total	pH	Perturbed	7.5	25	90
63H-A-DNA_Reads_non_singletons_gap	1.834	Total	pH	Perturbed	7.5	25	90
64H-A-DNA_Reads_non_singletons_gap	1.856	Total	pH	Perturbed	7.5	25	90
65H-A-DNA_Reads_non_singletons_gap	2.197	Total	pH	Perturbed	7.5	15	90
66H-A-DNA_Reads_non_singletons_gap	2.247	Total	pH	Perturbed	7.5	15	90
67H-A-DNA_Reads_non_singletons_gap	2.168	Total	pH	Perturbed	7.5	15	90
69H-A-DNA_Reads_non_singletons_gap	1.890	Total	pH	Perturbed	7.5	35	90
70H-A-DNA_Reads_non_singletons_gap	1.731	Total	pH	Perturbed	7.5	35	90
71H-A-DNA_Reads_non_singletons_gap	1.747	Total	pH	Perturbed	7.5	35	90
AOA140_Reads_non_singletons_gap	n/a	Total	pH	Perturbed	7.5	35	90
2H-A-DNA_Reads_non_singletons_gap	1.577	Active	Temp	Maintained	6	25	90
3H-A-DNA_Reads_non_singletons_gap	1.245	Active	Temp	Maintained	6	25	90
4H-A-DNA_Reads_non_singletons_gap	1.228	Active	Temp	Maintained	6	25	90
5H-A-DNA_Reads_non_singletons_gap	1.905	Active	Temp	Maintained	4.5	25	90
6H-A-DNA_Reads_non_singletons_gap	1.860	Active	Temp	Maintained	4.5	25	90
7H-A-DNA_Reads_non_singletons_gap	1.735	Active	Temp	Maintained	4.5	25	90
9H-A-DNA_Reads_non_singletons_gap	1.778	Active	Temp	Maintained	7.5	25	90
