SampleID	Diversity	DiversityID	Pert1	Pert2	Temp	pH	Phylogenetic.Resolution
31H-A-DNA_Reads_non_singletons_gap	2.745006515	Total	Temp	Perturbed	35	4.5	100
33H-A-DNA_Reads_non_singletons_gap	3.197348765	Total	Temp	Perturbed	35	7.5	100
34H-A-DNA_Reads_non_singletons_gap	3.332882072	Total	Temp	Perturbed	35	7.5	100
35H-A-DNA_Reads_non_singletons_gap	3.372124518	Total	Temp	Perturbed	35	7.5	100
37H-A-DNA_Reads_non_singletons_gap	3.15255011	Total	pH	Maintained	25	6	100
38H-A-DNA_Reads_non_singletons_gap	3.179829175	Total	pH	Maintained	25	6	100
39H-A-DNA_Reads_non_singletons_gap	3.154951962	Total	pH	Maintained	25	6	100
41H-A-DNA_Reads_non_singletons_gap	3.387971076	Total	pH	Maintained	15	6	100
42H-A-DNA_Reads_non_singletons_gap	3.457714734	Total	pH	Maintained	15	6	100
43H-A-DNA_Reads_non_singletons_gap	3.420562581	Total	pH	Maintained	15	6	100
45H-A-DNA_Reads_non_singletons_gap	2.738509356	Total	pH	Maintained	35	6	100
46H-A-DNA_Reads_non_singletons_gap	2.567590751	Total	pH	Maintained	35	6	100
47H-A-DNA_Reads_non_singletons_gap	2.333173733	Total	pH	Maintained	35	6	100
49H-A-DNA_Reads_non_singletons_gap	2.591446245	Total	pH	Perturbed	25	4.5	100
50H-A-DNA_Reads_non_singletons_gap	2.87474162	Total	pH	Perturbed	25	4.5	100
51H-A-DNA_Reads_non_singletons_gap	2.180741898	Total	pH	Perturbed	25	4.5	100
53H-A-DNA_Reads_non_singletons_gap	2.953222574	Total	pH	Perturbed	15	4.5	100
54H-A-DNA_Reads_non_singletons_gap	2.804376433	Total	pH	Perturbed	15	4.5	100
55H-A-DNA_Reads_non_singletons_gap	2.929213271	Total	pH	Perturbed	15	4.5	100
57H-A-DNA_Reads_non_singletons_gap	2.680460588	Total	pH	Perturbed	35	4.5	100
58H-A-DNA_Reads_non_singletons_gap	2.63314815	Total	pH	Perturbed	35	4.5	100
59H-A-DNA_Reads_non_singletons_gap	2.673471444	Total	pH	Perturbed	35	4.5	100
62H-A-DNA_Reads_non_singletons_gap	2.646295951	Total	pH	Perturbed	25	7.5	100
63H-A-DNA_Reads_non_singletons_gap	2.766753043	Total	pH	Perturbed	25	7.5	100
64H-A-DNA_Reads_non_singletons_gap	2.810940881	Total	pH	Perturbed	25	7.5	100
65H-A-DNA_Reads_non_singletons_gap	3.281151106	Total	pH	Perturbed	15	7.5	100
66H-A-DNA_Reads_non_singletons_gap	3.31446931	Total	pH	Perturbed	15	7.5	100
67H-A-DNA_Reads_non_singletons_gap	3.234500383	Total	pH	Perturbed	15	7.5	100
69H-A-DNA_Reads_non_singletons_gap	2.860214696	Total	pH	Perturbed	35	7.5	100
70H-A-DNA_Reads_non_singletons_gap	2.705405642	Total	pH	Perturbed	35	7.5	100
71H-A-DNA_Reads_non_singletons_gap	2.754686797	Total	pH	Perturbed	35	7.5	100
AOA65_Reads_non_singletons_gap	2.215739818	Active	Temp	Perturbed	35	7.5	100
AOA66_Reads_non_singletons_gap	2.461665116	Active	Temp	Perturbed	35	7.5	100
AOA68_Reads_non_singletons_gap	3.022766615	Active	Temp	Perturbed	35	7.5	100
AOA73_Reads_non_singletons_gap	3.082810936	Active	pH	Maintained	25	6	100
AOA74_Reads_non_singletons_gap	3.000838666	Active	pH	Maintained	25	6	100
AOA76_Reads_non_singletons_gap	3.023445837	Active	pH	Maintained	25	6	100
AOA81_Reads_non_singletons_gap	2.623087386	Active	pH	Maintained	15	6	100
AOA83_Reads_non_singletons_gap	2.413107642	Active	pH	Maintained	15	6	100
AOA84_Reads_non_singletons_gap	4.323927632	Active	pH	Maintained	15	6	100
AOA97_Reads_non_singletons_gap	4.048238939	Active	pH	Perturbed	25	4.5	100
AOA99_Reads_non_singletons_gap	4.232923205	Active	pH	Perturbed	25	4.5	100
AOA100_Reads_non_singletons_gap	3.452628014	Active	pH	Perturbed	25	4.5	100
active105	0	Active	pH	Perturbed	15	4.5	100
active106	0	Active	pH	Perturbed	15	4.5	100
active107	0	Active	pH	Perturbed	15	4.5	100
active113	0	Active	pH	Perturbed	35	4.5	100
active114	0	Active	pH	Perturbed	35	4.5	100
active115	0	Active	pH	Perturbed	35	4.5	100
AOA123_Reads_non_singletons_gap	2.810362373	Active	pH	Perturbed	25	7.5	100
active129	0	Active	pH	Perturbed	15	7.5	100
active130	0	Active	pH	Perturbed	15	7.5	100
active131	0	Active	pH	Perturbed	15	7.5	100
AOA138_Reads_non_singletons_gap	3.468257903	Active	pH	Perturbed	35	7.5	100
AOA139_Reads_non_singletons_gap	2.760907365	Active	pH	Perturbed	35	7.5	100
AOA140_Reads_non_singletons_gap	2.105862567	Active	pH	Perturbed	35	7.5	100
Macrogen_AOA_17	5.059896276	Active	Temp	Maintained	25	7.5	100
NBAF01-A1_Reads_non_singletons_gap	3.558305545	Active	Temp	Maintained	25	6	100
NBAF02-A2_Reads_non_singletons_gap	3.304940949	Active	Temp	Maintained	25	6	100
NBAF03-A3_Reads_non_singletons_gap	3.173994291	Active	Temp	Maintained	25	6	100
NBAF07-A7_Reads_non_singletons_gap	4.165004474	Active	Temp	Maintained	25	4.5	100
NBAF08-A8_Reads_non_singletons_gap	4.089461434	Active	Temp	Maintained	25	4.5	100
NBAF09-A9_Reads_non_singletons_gap	4.027216672	Active	Temp	Maintained	25	4.5	100
NBAF13-A13_Reads_non_singletons_gap	3.255926014	Active	Temp	Perturbed	15	6	100
NBAF14-A14_Reads_non_singletons_gap	3.291688328	Active	Temp	Perturbed	15	6	100
NBAF15-A15_Reads_non_singletons_gap	3.060602046	Active	Temp	Perturbed	15	6	100
active16	0	Active	Temp	Perturbed	15	4.5	100
active17	0	Active	Temp	Perturbed	15	4.5	100
active18	0	Active	Temp	Perturbed	15	4.5	100
NBAF19-A19_Reads_non_singletons_gap	1.001715938	Active	Temp	Perturbed	35	6	100
NBAF20-A20_Reads_non_singletons_gap	0.597889313	Active	Temp	Perturbed	35	6	100
NBAF21-A21_Reads_non_singletons_gap	0.92894156	Active	Temp	Perturbed	35	6	100
Active57	0	Active	Temp	Perturbed	35	4.5	100
Active58	0	Active	Temp	Perturbed	35	4.5	100
Active59	0	Active	Temp	Perturbed	35	4.5	100
NBAF26-A26_Reads_non_singletons_gap	4.095210257	Active	Temp	Maintained	25	7.5	100
NBAF27-A27_Reads_non_singletons_gap	4.248558755	Active	Temp	Maintained	25	7.5	100
NBAF31-A31_Reads_non_singletons_gap	3.699749603	Active	Temp	Perturbed	15	7.5	100
NBAF32-A32_Reads_non_singletons_gap	3.663901959	Active	Temp	Perturbed	15	7.5	100
NBAF33-A33_Reads_non_singletons_gap	3.449132127	Active	Temp	Perturbed	15	7.5	100
NBAF43-A43_Reads_non_singletons_gap	0.681491041	Active	pH	Maintained	35	6	100
NBAF44-A44_Reads_non_singletons_gap	0.549783364	Active	pH	Maintained	35	6	100
NBAF45-A45_Reads_non_singletons_gap	0.844932944	Active	pH	Maintained	35	6	100
NBAF71-A73_reads_without_singletons_id_1	0	Active	pH	Perturbed	25	7.5	100
2H-A-DNA_Reads_non_singletons_gap	2.433994509	Total	Temp	Maintained	25	6	95
3H-A-DNA_Reads_non_singletons_gap	2.486030621	Total	Temp	Maintained	25	6	95
4H-A-DNA_Reads_non_singletons_gap	2.432238878	Total	Temp	Maintained	25	6	95
5H-A-DNA_Reads_non_singletons_gap	2.493362605	Total	Temp	Maintained	25	4.5	95
6H-A-DNA_Reads_non_singletons_gap	2.525370717	Total	Temp	Maintained	25	4.5	95
7H-A-DNA_Reads_non_singletons_gap	2.523704761	Total	Temp	Maintained	25	4.5	95
9H-A-DNA_Reads_non_singletons_gap	2.171304796	Total	Temp	Maintained	25	7.5	95
10H-A-DNA_Reads_non_singletons_gap	2.20436162	Total	Temp	Maintained	25	7.5	95
11H-A-DNA_Reads_non_singletons_gap	2.286569583	Total	Temp	Maintained	25	7.5	95
13H-A-DNA_Reads_non_singletons_gap	2.370154211	Total	Temp	Perturbed	15	6	95
14H-A-DNA_Reads_non_singletons_gap	2.190858648	Total	Temp	Perturbed	15	6	95
15H-A-DNA_Reads_non_singletons_gap	2.346542945	Total	Temp	Perturbed	15	6	95
17H-A-DNA_Reads_non_singletons_gap	2.428726503	Total	Temp	Perturbed	15	4.5	95
18H-A-DNA_Reads_non_singletons_gap	2.54210075	Total	Temp	Perturbed	15	4.5	95
19H-A-DNA_Reads_non_singletons_gap	2.428375677	Total	Temp	Perturbed	15	4.5	95
21H-A-DNA_Reads_non_singletons_gap	2.485118478	Total	Temp	Perturbed	15	7.5	95
22H-A-DNA_Reads_non_singletons_gap	2.015003575	Total	Temp	Perturbed	15	7.5	95
23H-A-DNA_Reads_non_singletons_gap	1.999067669	Total	Temp	Perturbed	15	7.5	95
26H-A-DNA_Reads_non_singletons_gap	2.213642597	Total	Temp	Perturbed	35	6	95
27H-A-DNA_Reads_non_singletons_gap	2.331208435	Total	Temp	Perturbed	35	6	95
28H-A-DNA_Reads_non_singletons_gap	2.37930449	Total	Temp	Perturbed	35	6	95
29H-A-DNA_Reads_non_singletons_gap	1.596527921	Total	Temp	Perturbed	35	4.5	95
30H-A-DNA_Reads_non_singletons_gap	1.490941828	Total	Temp	Perturbed	35	4.5	95
31H-A-DNA_Reads_non_singletons_gap	1.515595125	Total	Temp	Perturbed	35	4.5	95
33H-A-DNA_Reads_non_singletons_gap	2.403381182	Total	Temp	Perturbed	35	7.5	95
34H-A-DNA_Reads_non_singletons_gap	2.508824911	Total	Temp	Perturbed	35	7.5	95
35H-A-DNA_Reads_non_singletons_gap	2.517649605	Total	Temp	Perturbed	35	7.5	95
37H-A-DNA_Reads_non_singletons_gap	2.492102613	Total	pH	Maintained	25	6	95
38H-A-DNA_Reads_non_singletons_gap	2.431089174	Total	pH	Maintained	25	6	95
39H-A-DNA_Reads_non_singletons_gap	2.399365417	Total	pH	Maintained	25	6	95
41H-A-DNA_Reads_non_singletons_gap	2.516801215	Total	pH	Maintained	15	6	95
42H-A-DNA_Reads_non_singletons_gap	2.560698311	Total	pH	Maintained	15	6	95
43H-A-DNA_Reads_non_singletons_gap	2.534642424	Total	pH	Maintained	15	6	95
45H-A-DNA_Reads_non_singletons_gap	2.129837083	Total	pH	Maintained	35	6	95
46H-A-DNA_Reads_non_singletons_gap	1.999032893	Total	pH	Maintained	35	6	95
47H-A-DNA_Reads_non_singletons_gap	1.809431354	Total	pH	Maintained	35	6	95
49H-A-DNA_Reads_non_singletons_gap	1.893838948	Total	pH	Perturbed	25	4.5	95
50H-A-DNA_Reads_non_singletons_gap	1.926622081	Total	pH	Perturbed	25	4.5	95
51H-A-DNA_Reads_non_singletons_gap	1.422221376	Total	pH	Perturbed	25	4.5	95
53H-A-DNA_Reads_non_singletons_gap	2.188392642	Total	pH	Perturbed	15	4.5	95
54H-A-DNA_Reads_non_singletons_gap	2.044914428	Total	pH	Perturbed	15	4.5	95
55H-A-DNA_Reads_non_singletons_gap	2.166165551	Total	pH	Perturbed	15	4.5	95
57H-A-DNA_Reads_non_singletons_gap	1.834661959	Total	pH	Perturbed	35	4.5	95
58H-A-DNA_Reads_non_singletons_gap	1.863403214	Total	pH	Perturbed	35	4.5	95
59H-A-DNA_Reads_non_singletons_gap	1.872105328	Total	pH	Perturbed	35	4.5	95
62H-A-DNA_Reads_non_singletons_gap	1.983243395	Total	pH	Perturbed	25	7.5	95
63H-A-DNA_Reads_non_singletons_gap	2.026627838	Total	pH	Perturbed	25	7.5	95
64H-A-DNA_Reads_non_singletons_gap	2.02701676	Total	pH	Perturbed	25	7.5	95
65H-A-DNA_Reads_non_singletons_gap	2.436198745	Total	pH	Perturbed	15	7.5	95
66H-A-DNA_Reads_non_singletons_gap	2.501024824	Total	pH	Perturbed	15	7.5	95
67H-A-DNA_Reads_non_singletons_gap	2.418218598	Total	pH	Perturbed	15	7.5	95
69H-A-DNA_Reads_non_singletons_gap	2.083860726	Total	pH	Perturbed	35	7.5	95
70H-A-DNA_Reads_non_singletons_gap	1.90577204	Total	pH	Perturbed	35	7.5	95
71H-A-DNA_Reads_non_singletons_gap	1.939733891	Total	pH	Perturbed	35	7.5	95
AOA65_Reads_non_singletons_gap	1.16491548	Active	Temp	Perturbed	35	7.5	95
AOA66_Reads_non_singletons_gap	1.873587519	Active	Temp	Perturbed	35	7.5	95
AOA68_Reads_non_singletons_gap	1.183025602	Active	Temp	Perturbed	35	7.5	95
AOA73_Reads_non_singletons_gap	1.193459365	Active	pH	Maintained	25	6	95
AOA74_Reads_non_singletons_gap	1.593385609	Active	pH	Maintained	25	6	95
AOA76_Reads_non_singletons_gap	2.38893005	Active	pH	Maintained	25	6	95
AOA81_Reads_non_singletons_gap	2.204731354	Active	pH	Maintained	15	6	95
AOA83_Reads_non_singletons_gap	1.972349157	Active	pH	Maintained	15	6	95
AOA84_Reads_non_singletons_gap	2.651628089	Active	pH	Maintained	15	6	95
AOA97_Reads_non_singletons_gap	2.602297356	Active	pH	Perturbed	25	4.5	95
AOA99_Reads_non_singletons_gap	2.623750543	Active	pH	Perturbed	25	4.5	95
AOA100_Reads_non_singletons_gap	2.152986998	Active	pH	Perturbed	25	4.5	95
active105	0	Active	pH	Perturbed	15	4.5	95
active106	0	Active	pH	Perturbed	15	4.5	95
active107	0	Active	pH	Perturbed	15	4.5	95
active113	0	Active	pH	Perturbed	35	4.5	95
active114	0	Active	pH	Perturbed	35	4.5	95
active115	0	Active	pH	Perturbed	35	4.5	95
AOA123_Reads_non_singletons_gap	1.981056795	Active	pH	Perturbed	25	7.5	95
active129	0	Active	pH	Perturbed	15	7.5	95
active130	0	Active	pH	Perturbed	15	7.5	95
active131	0	Active	pH	Perturbed	15	7.5	95
AOA138_Reads_non_singletons_gap	2.298437908	Active	pH	Perturbed	35	7.5	95
AOA139_Reads_non_singletons_gap	1.374904891	Active	pH	Perturbed	35	7.5	95
AOA140_Reads_non_singletons_gap	0.908601842	Active	pH	Perturbed	35	7.5	95
Macrogen_AOA_17	2.368460716	Active	Temp	Maintained	25	7.5	95
NBAF01-A1_Reads_non_singletons_gap	2.252231407	Active	Temp	Maintained	25	6	95
NBAF02-A2_Reads_non_singletons_gap	1.945508785	Active	Temp	Maintained	25	6	95
NBAF03-A3_Reads_non_singletons_gap	1.876723198	Active	Temp	Maintained	25	6	95
NBAF07-A7_Reads_non_singletons_gap	2.562286542	Active	Temp	Maintained	25	4.5	95
NBAF08-A8_Reads_non_singletons_gap	2.549058604	Active	Temp	Maintained	25	4.5	95
NBAF09-A9_Reads_non_singletons_gap	2.417173113	Active	Temp	Maintained	25	4.5	95
NBAF13-A13_Reads_non_singletons_gap	1.810270298	Active	Temp	Perturbed	15	6	95
NBAF14-A14_Reads_non_singletons_gap	1.797595016	Active	Temp	Perturbed	15	6	95
NBAF15-A15_Reads_non_singletons_gap	1.772432779	Active	Temp	Perturbed	15	6	95
active16	0	Active	Temp	Perturbed	15	4.5	95
active17	0	Active	Temp	Perturbed	15	4.5	95
active18	0	Active	Temp	Perturbed	15	4.5	95
NBAF19-A19_Reads_non_singletons_gap	0.67459318	Active	Temp	Perturbed	35	6	95
NBAF20-A20_Reads_non_singletons_gap	0.493405017	Active	Temp	Perturbed	35	6	95
NBAF21-A21_Reads_non_singletons_gap	0.763537741	Active	Temp	Perturbed	35	6	95
Active57	0	Active	Temp	Perturbed	35	4.5	95
Active58	0	Active	Temp	Perturbed	35	4.5	95
Active59	0	Active	Temp	Perturbed	35	4.5	95
NBAF26-A26_Reads_non_singletons_gap	1.80588305	Active	Temp	Maintained	25	7.5	95
NBAF27-A27_Reads_non_singletons_gap	1.979637817	Active	Temp	Maintained	25	7.5	95
NBAF31-A31_Reads_non_singletons_gap	1.320697437	Active	Temp	Perturbed	15	7.5	95
NBAF32-A32_Reads_non_singletons_gap	1.320631674	Active	Temp	Perturbed	15	7.5	95
NBAF33-A33_Reads_non_singletons_gap	1.305511881	Active	Temp	Perturbed	15	7.5	95
NBAF43-A43_Reads_non_singletons_gap	0.536713193	Active	pH	Maintained	35	6	95
NBAF44-A44_Reads_non_singletons_gap	0.429102524	Active	pH	Maintained	35	6	95
NBAF45-A45_Reads_non_singletons_gap	0.661952022	Active	pH	Maintained	35	6	95
NBAF71-A73_reads_without_singletons_id_1	0	Active	pH	Perturbed	25	7.5	95
2H-A-DNA_Reads_non_singletons_gap	2.246696219	Total	Temp	Maintained	25	6	90
3H-A-DNA_Reads_non_singletons_gap	2.283761798	Total	Temp	Maintained	25	6	90
4H-A-DNA_Reads_non_singletons_gap	2.236730425	Total	Temp	Maintained	25	6	90
5H-A-DNA_Reads_non_singletons_gap	1.968809325	Total	Temp	Maintained	25	4.5	90
6H-A-DNA_Reads_non_singletons_gap	1.984519574	Total	Temp	Maintained	25	4.5	90
7H-A-DNA_Reads_non_singletons_gap	2.001438757	Total	Temp	Maintained	25	4.5	90
9H-A-DNA_Reads_non_singletons_gap	1.728944713	Total	Temp	Maintained	25	7.5	90
10H-A-DNA_Reads_non_singletons_gap	1.757302191	Total	Temp	Maintained	25	7.5	90
11H-A-DNA_Reads_non_singletons_gap	1.793804655	Total	Temp	Maintained	25	7.5	90
13H-A-DNA_Reads_non_singletons_gap	2.163576778	Total	Temp	Perturbed	15	6	90
14H-A-DNA_Reads_non_singletons_gap	1.995453276	Total	Temp	Perturbed	15	6	90
15H-A-DNA_Reads_non_singletons_gap	2.122522527	Total	Temp	Perturbed	15	6	90
17H-A-DNA_Reads_non_singletons_gap	1.955951086	Total	Temp	Perturbed	15	4.5	90
18H-A-DNA_Reads_non_singletons_gap	2.017166483	Total	Temp	Perturbed	15	4.5	90
19H-A-DNA_Reads_non_singletons_gap	1.923922154	Total	Temp	Perturbed	15	4.5	90
21H-A-DNA_Reads_non_singletons_gap	1.94965006	Total	Temp	Perturbed	15	7.5	90
22H-A-DNA_Reads_non_singletons_gap	1.619427433	Total	Temp	Perturbed	15	7.5	90
23H-A-DNA_Reads_non_singletons_gap	1.59467251	Total	Temp	Perturbed	15	7.5	90
26H-A-DNA_Reads_non_singletons_gap	1.966690915	Total	Temp	Perturbed	35	6	90
27H-A-DNA_Reads_non_singletons_gap	2.088465715	Total	Temp	Perturbed	35	6	90
28H-A-DNA_Reads_non_singletons_gap	2.108803788	Total	Temp	Perturbed	35	6	90
29H-A-DNA_Reads_non_singletons_gap	1.21305421	Total	Temp	Perturbed	35	4.5	90
30H-A-DNA_Reads_non_singletons_gap	1.126073094	Total	Temp	Perturbed	35	4.5	90
31H-A-DNA_Reads_non_singletons_gap	1.161417703	Total	Temp	Perturbed	35	4.5	90
33H-A-DNA_Reads_non_singletons_gap	1.98100914	Total	Temp	Perturbed	35	7.5	90
34H-A-DNA_Reads_non_singletons_gap	2.066162432	Total	Temp	Perturbed	35	7.5	90
35H-A-DNA_Reads_non_singletons_gap	2.119184638	Total	Temp	Perturbed	35	7.5	90
37H-A-DNA_Reads_non_singletons_gap	2.272079975	Total	pH	Maintained	25	6	90
38H-A-DNA_Reads_non_singletons_gap	2.23765188	Total	pH	Maintained	25	6	90
39H-A-DNA_Reads_non_singletons_gap	2.190699052	Total	pH	Maintained	25	6	90
41H-A-DNA_Reads_non_singletons_gap	2.203203521	Total	pH	Maintained	15	6	90
42H-A-DNA_Reads_non_singletons_gap	2.240997645	Total	pH	Maintained	15	6	90
43H-A-DNA_Reads_non_singletons_gap	2.259789234	Total	pH	Maintained	15	6	90
45H-A-DNA_Reads_non_singletons_gap	1.922238725	Total	pH	Maintained	35	6	90
46H-A-DNA_Reads_non_singletons_gap	1.823159759	Total	pH	Maintained	35	6	90
47H-A-DNA_Reads_non_singletons_gap	1.677087445	Total	pH	Maintained	35	6	90
49H-A-DNA_Reads_non_singletons_gap	1.724968639	Total	pH	Perturbed	25	4.5	90
50H-A-DNA_Reads_non_singletons_gap	1.799712252	Total	pH	Perturbed	25	4.5	90
51H-A-DNA_Reads_non_singletons_gap	1.280583612	Total	pH	Perturbed	25	4.5	90
53H-A-DNA_Reads_non_singletons_gap	1.946073647	Total	pH	Perturbed	15	4.5	90
54H-A-DNA_Reads_non_singletons_gap	1.8337818	Total	pH	Perturbed	15	4.5	90
55H-A-DNA_Reads_non_singletons_gap	1.932270847	Total	pH	Perturbed	15	4.5	90
57H-A-DNA_Reads_non_singletons_gap	1.671307406	Total	pH	Perturbed	35	4.5	90
58H-A-DNA_Reads_non_singletons_gap	1.702509773	Total	pH	Perturbed	35	4.5	90
59H-A-DNA_Reads_non_singletons_gap	1.715383198	Total	pH	Perturbed	35	4.5	90
62H-A-DNA_Reads_non_singletons_gap	1.833718804	Total	pH	Perturbed	25	7.5	90
63H-A-DNA_Reads_non_singletons_gap	1.834441424	Total	pH	Perturbed	25	7.5	90
64H-A-DNA_Reads_non_singletons_gap	1.855580212	Total	pH	Perturbed	25	7.5	90
65H-A-DNA_Reads_non_singletons_gap	2.197019802	Total	pH	Perturbed	15	7.5	90
66H-A-DNA_Reads_non_singletons_gap	2.247023419	Total	pH	Perturbed	15	7.5	90
67H-A-DNA_Reads_non_singletons_gap	2.168476034	Total	pH	Perturbed	15	7.5	90
69H-A-DNA_Reads_non_singletons_gap	1.889987216	Total	pH	Perturbed	35	7.5	90
70H-A-DNA_Reads_non_singletons_gap	1.730768553	Total	pH	Perturbed	35	7.5	90
71H-A-DNA_Reads_non_singletons_gap	1.747122921	Total	pH	Perturbed	35	7.5	90
AOA65_Reads_non_singletons_gap	1.016657911	Active	Temp	Perturbed	35	7.5	90
AOA66_Reads_non_singletons_gap	1.651966928	Active	Temp	Perturbed	35	7.5	90
AOA68_Reads_non_singletons_gap	0.578373525	Active	Temp	Perturbed	35	7.5	90
AOA73_Reads_non_singletons_gap	0.604674873	Active	pH	Maintained	25	6	90
AOA74_Reads_non_singletons_gap	1.112212264	Active	pH	Maintained	25	6	90
AOA76_Reads_non_singletons_gap	2.180224038	Active	pH	Maintained	25	6	90
AOA81_Reads_non_singletons_gap	2.012496697	Active	pH	Maintained	15	6	90
AOA83_Reads_non_singletons_gap	1.787486018	Active	pH	Maintained	15	6	90
AOA84_Reads_non_singletons_gap	1.868468002	Active	pH	Maintained	15	6	90
AOA97_Reads_non_singletons_gap	1.873723856	Active	pH	Perturbed	25	4.5	90
AOA99_Reads_non_singletons_gap	1.831338132	Active	pH	Perturbed	25	4.5	90
AOA100_Reads_non_singletons_gap	1.535269885	Active	pH	Perturbed	25	4.5	90
active105	0	Active	pH	Perturbed	15	4.5	90
active106	0	Active	pH	Perturbed	15	4.5	90
active107	0	Active	pH	Perturbed	15	4.5	90
active113	0	Active	pH	Perturbed	35	4.5	90
active114	0	Active	pH	Perturbed	35	4.5	90
active115	0	Active	pH	Perturbed	35	4.5	90
AOA123_Reads_non_singletons_gap	1.481625292	Active	pH	Perturbed	25	7.5	90
active129	0	Active	pH	Perturbed	15	7.5	90
active130	0	Active	pH	Perturbed	15	7.5	90
active131	0	Active	pH	Perturbed	15	7.5	90
AOA138_Reads_non_singletons_gap	1.748204658	Active	pH	Perturbed	35	7.5	90
AOA139_Reads_non_singletons_gap	1.176786383	Active	pH	Perturbed	35	7.5	90
AOA140_Reads_non_singletons_gap	0.755056613	Active	pH	Perturbed	35	7.5	90
Macrogen_AOA_17	1.777530347	Active	Temp	Maintained	25	7.5	90
NBAF01-A1_Reads_non_singletons_gap	1.576641201	Active	Temp	Maintained	25	6	90
NBAF02-A2_Reads_non_singletons_gap	1.245141918	Active	Temp	Maintained	25	6	90
NBAF03-A3_Reads_non_singletons_gap	1.228142359	Active	Temp	Maintained	25	6	90
NBAF07-A7_Reads_non_singletons_gap	1.905158161	Active	Temp	Maintained	25	4.5	90
NBAF08-A8_Reads_non_singletons_gap	1.859744594	Active	Temp	Maintained	25	4.5	90
NBAF09-A9_Reads_non_singletons_gap	1.735461094	Active	Temp	Maintained	25	4.5	90
NBAF13-A13_Reads_non_singletons_gap	1.12094301	Active	Temp	Perturbed	15	6	90
NBAF14-A14_Reads_non_singletons_gap	1.081941436	Active	Temp	Perturbed	15	6	90
NBAF15-A15_Reads_non_singletons_gap	1.133742593	Active	Temp	Perturbed	15	6	90
active16	0	Active	Temp	Perturbed	15	4.5	90
active17	0	Active	Temp	Perturbed	15	4.5	90
active18	0	Active	Temp	Perturbed	15	4.5	90
NBAF19-A19_Reads_non_singletons_gap	0.488395704	Active	Temp	Perturbed	35	6	90
NBAF20-A20_Reads_non_singletons_gap	0.384174324	Active	Temp	Perturbed	35	6	90
NBAF21-A21_Reads_non_singletons_gap	0.571924695	Active	Temp	Perturbed	35	6	90
Active57	0	Active	Temp	Perturbed	35	4.5	90
Active58	0	Active	Temp	Perturbed	35	4.5	90
Active59	0	Active	Temp	Perturbed	35	4.5	90
NBAF26-A26_Reads_non_singletons_gap	1.247167005	Active	Temp	Maintained	25	7.5	90
NBAF27-A27_Reads_non_singletons_gap	1.435405921	Active	Temp	Maintained	25	7.5	90
NBAF31-A31_Reads_non_singletons_gap	0.824546401	Active	Temp	Perturbed	15	7.5	90
NBAF32-A32_Reads_non_singletons_gap	0.885871288	Active	Temp	Perturbed	15	7.5	90
NBAF33-A33_Reads_non_singletons_gap	0.889054645	Active	Temp	Perturbed	15	7.5	90
NBAF43-A43_Reads_non_singletons_gap	0.508061196	Active	pH	Maintained	35	6	90
NBAF44-A44_Reads_non_singletons_gap	0.394341768	Active	pH	Maintained	35	6	90
